iter	Passed	Remaining
1552	45671	13145
1553	45694	13114
1554	45715	13082
1555	45738	13051
1556	45762	13020
1557	45786	12989
1558	45809	12958
1559	45830	12926
1560	45853	12895
1561	45876	12864
1562	45899	12832
1563	45923	12802
1564	45946	12770
1565	45968	12739
1566	45991	12708
1567	46013	12677
1568	46036	12645
1569	46059	12614
1570	46081	12583
1571	46107	12553
1572	46128	12521
1573	46150	12490
1574	46173	12459
1575	46195	12428
1576	46216	12396
1577	46241	12366
1578	46280	12339
1579	46321	12313
1580	46361	12286
1581	46401	12260
1582	46443	12234
1583	46488	12209
1584	46528	12182
1585	46572	12156
1586	46612	12130
1587	46651	12103
1588	46690	12076
1589	46715	12046
1590	46739	12015
1591	46780	11989
1592	46815	11961
1593	46859	11935
1594	46901	11909
1595	46941	11882
1596	46966	11851
1597	46989	11820
1598	47011	11789
1599	47035	11758
1600	47061	11728
1601	47088	11698
1602	47110	11667
1603	47133	11636
1604	47158	11606
1605	47182	11575
1606	47205	11544
1607	47227	11513
1608	47249	11481
1609	47271	11450
1610	47293	11419
1611	47319	11389
1612	47342	11358
1613	47364	11327
1614	47386	11296
1615	47408	11265
1616	47431	11234
1617	47457	11204
1618	47480	11173
1619	47503	11142
1620	47526	11112
1621	47551	11081
1622	47576	11051
1623	47600	11020
1624	47622	10989
1625	47645	10959
1626	47667	10928
1627	47690	10897
1628	47712	10866
1629	47734	10835
1630	47757	10804
1631	47780	10773
1632	47815	10746
1633	47855	10719
1634	47877	10688
1635	47900	10657
1636	47922	10626
1637	47952	10597
1638	47992	10570
1639	48032	10543
1640	48074	10517
1641	48116	10490
1642	48156	10463
1643	48196	10436
1644	48237	10409
1645	48279	10383
1646	48325	10357
1647	48367	10330
1648	48392	10300
1649	48414	10269
1650	48441	10239
1651	48489	10214
1652	48522	10185
1653	48563	10159
1654	48604	10131
1655	48644	10104
1656	48674	10075
1657	48696	10044
1658	48719	10014
1659	48741	9983
